protocol,s_IP,s_port,d_IP,d_port,hash,label,o_pck,i_pck,r_o_pck,o_data_p,i_data_p,r_o_dp,o_len,i_len,r_o_len,begin TM,end TM,o_spd_pck,i_spd_pck,o_spd_len,i_spd_len,o_(0),o_(1-100),o_(101-200),o_(201-300),o_(301-400),o_(401-500),o_(501-600),o_(601-700),o_(701-800),o_(801-900),o_(901-1000),o_(1001-1100),o_(1101-1200),o_(1201-1300),o_(>1300),i_(0),i_(1-100),i_(101-200),i_(201-300),i_(301-400),i_(401-500),i_(501-600),i_(601-700),i_(701-800),i_(801-900),i_(901-1000),i_(1001-1100),i_(1101-1200),i_(1201-1300),i_(>1300),
6,31.13.76.8,443,192.168.137.202,50131,1996775291,0,3947,1054,0.789242,3854,144,0.963982,5093094,16555,0.996760,1.266,9.131,501.836,134.009,647554.426,2104.863,93,74,25,19,27,11,20,55,21,300,14,19,22,48,3562,910,99,5,36,1,0,3,0,0,0,0,0,0,0,0,
6,192.168.137.202,50131,31.13.76.8,443,1384005892,0,1054,3947,0.210758,144,3854,0.036018,16555,5093094,0.003240,1.266,9.131,134.009,501.836,2104.863,647554.426,910,99,5,36,1,0,3,0,0,0,0,0,0,0,0,93,74,25,19,27,11,20,55,21,300,14,19,22,48,3562,
6,31.13.76.8,443,192.168.137.202,50139,3204555745,0,4119,882,0.823635,4011,131,0.968373,5226414,14249,0.997281,2.129,18.696,248.627,53.238,315471.701,860.084,108,112,21,22,21,23,9,62,17,358,15,15,24,85,3592,751,93,0,37,0,0,1,0,0,0,0,0,0,0,0,
6,192.168.137.202,50139,31.13.76.8,443,1819142678,0,882,4119,0.176365,131,4011,0.031627,14249,5226414,0.002719,2.129,18.696,53.238,248.627,860.084,315471.701,751,93,0,37,0,0,1,0,0,0,0,0,0,0,0,108,112,21,22,21,23,9,62,17,358,15,15,24,85,3592,
6,31.13.76.8,443,192.168.137.202,50126,2593524745,0,3948,1053,0.789442,3850,160,0.960100,5106897,15034,0.997065,4.576,24.991,217.424,57.991,281246.311,827.950,98,61,17,30,31,21,18,49,16,296,12,11,19,49,3585,893,124,0,35,0,0,1,0,0,0,0,0,0,0,0,
6,192.168.137.202,50126,31.13.76.8,443,2618739083,0,1053,3948,0.210558,160,3850,0.039900,15034,5106897,0.002935,4.576,24.991,57.991,217.424,827.950,281246.311,893,124,0,35,0,0,1,0,0,0,0,0,0,0,0,98,61,17,30,31,21,18,49,16,296,12,11,19,49,3585,
6,192.168.137.202,50111,31.13.76.8,443,4146700309,0,1261,3740,0.252150,147,3672,0.038492,17847,4832708,0.003679,6.778,26.680,67.141,199.133,950.250,257313.843,1114,100,0,43,1,0,3,0,0,0,0,0,0,0,0,68,67,5,23,37,30,14,33,8,361,6,8,16,66,3338,
6,31.13.76.8,443,192.168.137.202,50111,1191135187,0,3740,1261,0.747850,3672,147,0.961508,4832708,17847,0.996321,6.778,26.680,199.133,67.141,257313.843,950.250,68,67,5,23,37,30,14,33,8,361,6,8,16,66,3338,1114,100,0,43,1,0,3,0,0,0,0,0,0,0,0,
