protocol,s_IP,s_port,d_IP,d_port,hash,label,o_pck,i_pck,r_o_pck,o_data_p,i_data_p,r_o_dp,o_len,i_len,r_o_len,begin TM,end TM,o_spd_pck,i_spd_pck,o_spd_len,i_spd_len,o_(0),o_(1-100),o_(101-200),o_(201-300),o_(301-400),o_(401-500),o_(501-600),o_(601-700),o_(701-800),o_(801-900),o_(901-1000),o_(1001-1100),o_(1101-1200),o_(1201-1300),o_(>1300),i_(0),i_(1-100),i_(101-200),i_(201-300),i_(301-400),i_(401-500),i_(501-600),i_(601-700),i_(701-800),i_(801-900),i_(901-1000),i_(1001-1100),i_(1101-1200),i_(1201-1300),i_(>1300),
6,192.168.137.202,50131,31.13.76.8,443,1384005892,0,517,1484,0.258371,62,1454,0.040897,8421,1922335,0.004362,1.266,4.903,142.131,407.974,2315.059,528478.701,455,39,0,20,1,0,2,0,0,0,0,0,0,0,0,30,35,10,5,9,4,10,25,8,88,9,9,9,10,1362,
6,31.13.76.8,443,192.168.137.202,50131,1996775291,0,1484,517,0.741629,1454,62,0.959103,1922335,8421,0.995638,1.266,4.903,407.974,142.131,528478.701,2315.059,30,35,10,5,9,4,10,25,8,88,9,9,9,10,1362,455,39,0,20,1,0,2,0,0,0,0,0,0,0,0,
6,31.13.76.8,443,192.168.137.202,50139,3204555745,0,1636,365,0.817591,1602,51,0.969147,2110680,6249,0.997048,2.129,9.034,236.939,52.862,305686.362,905.033,34,40,11,8,8,7,5,23,5,125,5,3,9,25,1478,314,34,0,16,0,0,1,0,0,0,0,0,0,0,0,
6,192.168.137.202,50139,31.13.76.8,443,1819142678,0,365,1636,0.182409,51,1602,0.030853,6249,2110680,0.002952,2.129,9.034,52.862,236.939,905.033,305686.362,314,34,0,16,0,0,1,0,0,0,0,0,0,0,0,34,40,11,8,8,7,5,23,5,125,5,3,9,25,1478,
6,192.168.137.202,50126,31.13.76.8,443,2618739083,0,490,1511,0.244878,77,1475,0.049613,6968,1974710,0.003516,4.576,14.103,67.402,207.845,958.479,271630.159,413,61,0,16,0,0,0,0,0,0,0,0,0,0,0,36,21,7,13,10,7,7,18,4,94,5,5,8,12,1408,
6,31.13.76.8,443,192.168.137.202,50126,2593524745,0,1511,490,0.755122,1475,77,0.950387,1974710,6968,0.996484,4.576,14.103,207.845,67.402,271630.159,958.479,36,21,7,13,10,7,7,18,4,94,5,5,8,12,1408,413,61,0,16,0,0,0,0,0,0,0,0,0,0,0,
6,31.13.76.8,443,192.168.137.202,50111,1191135187,0,1450,551,0.724638,1417,68,0.954209,1835518,10844,0.994127,6.778,17.740,147.334,55.987,186506.455,1101.856,33,37,2,10,14,13,8,18,6,140,2,6,9,27,1253,483,38,0,26,1,0,3,0,0,0,0,0,0,0,0,
6,192.168.137.202,50111,31.13.76.8,443,4146700309,0,551,1450,0.275362,68,1417,0.045791,10844,1835518,0.005873,6.778,17.740,55.987,147.334,1101.856,186506.455,483,38,0,26,1,0,3,0,0,0,0,0,0,0,0,33,37,2,10,14,13,8,18,6,140,2,6,9,27,1253,
